Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Amp
High Voltage:,1300
Conversion Gain:,2048
Coarse Gain:,4
Fine Gain:,1.20
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,300.79
Elapsed Live Time:,297.19
Start Time:,January 14, 2020, 11:55:41
End Time:,January 14, 2020, 12:00:42
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,4
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,1
10,,0
11,,0
12,,1
13,,0
14,,1
15,,0
16,,0
17,,0
18,,1
19,,1
20,,1
21,,14
22,,148
23,,244
24,,256
25,,269
26,,254
27,,240
28,,222
29,,241
30,,221
31,,197
32,,221
33,,212
34,,186
35,,211
36,,196
37,,198
38,,185
39,,177
40,,175
41,,163
42,,192
43,,206
44,,211
45,,177
46,,183
47,,190
48,,167
49,,197
50,,176
51,,201
52,,184
53,,199
54,,205
55,,188
56,,209
57,,196
58,,202
59,,227
60,,207
61,,201
62,,200
63,,192
64,,203
65,,226
66,,217
67,,212
68,,215
69,,235
70,,220
71,,219
72,,227
73,,222
74,,258
75,,273
76,,276
77,,265
78,,271
79,,318
80,,278
81,,250
82,,275
83,,248
84,,294
85,,289
86,,322
87,,302
88,,328
89,,303
90,,299
91,,308
92,,330
93,,311
94,,303
95,,303
96,,296
97,,290
98,,289
99,,300
100,,253
101,,260
102,,266
103,,259
104,,287
105,,238
106,,224
107,,233
108,,236
109,,250
110,,224
111,,237
112,,226
113,,232
114,,233
115,,212
116,,215
117,,207
118,,205
119,,197
120,,198
121,,215
122,,209
123,,226
124,,192
125,,203
126,,214
127,,198
128,,186
129,,185
130,,190
131,,200
132,,196
133,,200
134,,189
135,,199
136,,217
137,,186
138,,212
139,,196
140,,214
141,,207
142,,196
143,,187
144,,194
145,,200
146,,213
147,,196
148,,215
149,,225
150,,202
151,,190
152,,199
153,,209
154,,204
155,,201
156,,222
157,,182
158,,215
159,,203
160,,207
161,,216
162,,196
163,,196
164,,209
165,,216
166,,211
