Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Amp
High Voltage:,1300
Conversion Gain:,2048
Coarse Gain:,4
Fine Gain:,1.20
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,358.21
Elapsed Live Time:,301.07
Start Time:,January 14, 2020, 12:20:30
End Time:,January 14, 2020, 12:26:28
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,100
1,,12
2,,12
3,,12
4,,18
5,,26
6,,40
7,,32
8,,40
9,,44
10,,39
11,,40
12,,63
13,,65
14,,74
15,,79
16,,103
17,,100
18,,123
19,,176
20,,404
21,,1701
22,,7338
23,,14890
24,,19842
25,,23661
26,,27298
27,,30839
28,,33219
29,,35442
30,,36485
31,,36938
32,,36683
33,,36473
34,,34918
35,,33225
36,,31420
37,,28587
38,,25923
39,,23343
40,,20768
41,,18563
42,,16567
43,,14517
44,,12833
45,,11575
46,,10228
47,,9162
48,,8104
49,,7494
50,,6751
51,,6241
52,,6040
53,,5615
54,,5447
55,,5313
56,,4984
57,,4933
58,,4934
59,,4849
60,,4785
61,,4948
62,,4946
63,,4905
64,,4883
65,,4886
66,,4894
67,,5079
68,,5080
69,,5084
70,,5029
71,,5002
72,,4985
73,,5184
74,,5104
75,,5361
76,,5251
77,,5388
78,,5327
79,,5493
80,,5415
81,,5505
82,,5636
83,,5651
84,,5777
85,,5765
86,,5836
87,,5743
88,,5848
89,,5954
90,,5934
91,,5974
92,,5897
93,,5955
94,,5902
95,,5761
96,,5662
97,,5676
98,,5726
99,,5622
100,,5525
101,,5580
102,,5429
103,,5387
104,,5213
105,,5263
106,,5181
107,,5011
108,,4868
109,,4895
110,,4874
111,,4708
112,,4657
113,,4713
114,,4564
115,,4662
116,,4616
117,,4541
118,,4535
119,,4435
120,,4330
121,,4493
122,,4362
123,,4254
124,,4330
125,,4305
126,,4222
127,,4348
128,,4206
129,,4148
130,,4195
131,,4233
132,,4280
133,,4327
134,,4351
135,,4248
136,,4145
137,,4297
138,,4141
139,,4075
140,,4231
141,,4206
142,,4156
143,,4238
144,,4292
145,,4260
146,,4263
147,,4274
148,,4289
149,,4221
150,,4222
151,,4342
152,,4260
153,,4332
154,,4405
155,,4249
156,,4224
157,,4318
158,,4338
159,,4299
160,,4242
161,,4372
162,,4267
163,,4287
164,,4155
165,,4393
166,,4344
167,,4363
168,,4362
169,,4291
170,,4310
171,,4273
172,,4226
173,,4231
174,,4188
175,,4194
176,,4292
177,,4343
178,,4264
179,,4288
180,,4272
181,,4286
182,,4495
183,,4273
184,,4291
185,,4346
186,,4223
187,,4235
188,,4299
189,,4364
190,,4432
191,,4396
192,,4472
193,,4436
194,,4225
195,,4429
196,,4420
197,,4614
198,,4542
199,,4634
200,,4627
201,,4549
202,,4633
203,,4807
204,,4834
205,,4718
206,,4770
207,,4851
208,,4935
209,,4929
210,,4952
211,,5117
212,,5060
213,,5206
214,,5293
215,,5418
216,,5363
217,,5383
218,,5437
219,,5517
220,,5549
221,,5725
222,,5802
223,,5806
224,,5810
225,,5850
226,,5917
227,,6126
228,,6120
229,,6220
230,,6358
231,,6331
232,,6105
233,,6294
234,,6306
235,,6454
236,,6529
237,,6320
238,,6526
239,,6443
240,,6360
241,,6530
242,,6507
243,,6432
244,,6484
245,,6469
246,,6516
247,,6479
248,,6422
249,,6428
250,,6309
251,,6257
252,,6304
253,,6300
254,,6255
255,,6256
256,,6364
257,,6288
258,,6262
259,,6149
260,,5873
261,,5881
262,,5857
263,,5774
264,,5903
265,,6032
266,,5828
267,,5835
268,,5648
269,,5706
270,,5762
271,,5674
272,,5475
273,,5366
274,,5708
275,,5555
276,,5479
277,,5426
278,,5501
279,,5330
280,,5273
281,,5281
282,,5179
283,,5218
284,,5124
285,,5192
286,,5153
287,,5007
288,,4922
289,,4995
290,,4992
291,,4922
292,,4912
293,,4976
294,,4795
295,,5017
296,,4853
297,,4778
298,,4693
299,,4648
300,,4775
301,,4620
302,,4788
303,,4681
304,,4514
305,,4632
306,,4623
307,,4633
308,,4569
309,,4585
310,,4472
311,,4490
312,,4478
313,,4399
314,,4447
315,,4446
316,,4486
317,,4412
318,,4373
319,,4350
320,,4278
321,,4217
322,,4239
323,,4291
324,,4368
325,,4328
326,,4169
327,,4164
328,,4135
329,,4170
330,,4244
331,,4104
332,,4084
333,,4142
334,,4099
335,,4030
336,,4142
337,,4038
338,,4030
339,,4131
340,,3937
341,,4003
342,,3969
343,,3945
344,,3886
345,,3822
346,,4033
347,,4054
348,,3833
349,,3922
350,,3954
351,,3849
352,,3827
353,,3902
354,,3844
355,,3895
356,,3756
357,,3825
358,,3820
359,,3846
360,,3670
361,,3807
362,,3824
363,,3757
364,,3733
365,,3757
366,,3765
367,,3660
368,,3713
369,,3759
370,,3588
371,,3664
372,,3687
373,,3640
374,,3608
375,,3757
376,,3717
377,,3624
378,,3684
379,,3567
380,,3564
381,,3636
382,,3537
383,,3579
384,,3558
385,,3652
386,,3504
387,,3521
388,,3592
389,,3565
390,,3562
391,,3444
392,,3483
393,,3489
394,,3475
395,,3468
396,,3497
397,,3478
398,,3379
399,,3532
400,,3393
401,,3511
402,,3440
403,,3409
404,,3456
405,,3470
406,,3328
407,,3499
408,,3459
409,,3405
410,,3424
411,,3399
412,,3379
413,,3488
414,,3385
415,,3439
416,,3314
417,,3307
418,,3253
419,,3318
420,,3310
421,,3413
422,,3273
423,,3349
424,,3338
425,,3363
426,,3407
427,,3261
428,,3313
429,,3343
430,,3251
431,,3345
432,,3335
433,,3319
434,,3230
435,,3136
436,,3370
437,,3351
438,,3317
439,,3248
440,,3227
441,,3242
442,,3251
443,,3247
444,,3278
445,,3181
446,,3249
447,,3220
448,,3211
449,,3328
450,,3194
451,,3200
452,,3132
453,,3337
454,,3227
455,,3212
456,,3159
457,,3280
458,,3172
459,,3320
460,,3326
461,,3191
462,,3229
463,,3310
464,,3186
465,,3254
466,,3338
467,,3205
468,,3304
469,,3294
470,,3246
471,,3303
472,,3280
473,,3310
474,,3239
475,,3215
476,,3284
477,,3217
478,,3235
479,,3270
480,,3199
481,,3243
482,,3369
483,,3280
484,,3253
485,,3325
486,,3393
487,,3337
488,,3188
489,,3284
490,,3395
491,,3352
492,,3258
493,,3380
494,,3364
495,,3283
496,,3379
497,,3329
498,,3389
499,,3340
500,,3362
501,,3346
502,,3266
503,,3311
504,,3495
505,,3356
506,,3360
507,,3299
508,,3333
509,,3366
510,,3509
511,,3346
512,,3329
513,,3379
514,,3344
515,,3398
516,,3402
517,,3456
518,,3388
519,,3510
520,,3450
521,,3382
522,,3486
523,,3414
524,,3528
525,,3511
526,,3418
527,,3457
528,,3395
529,,3430
530,,3354
531,,3410
532,,3420
533,,3469
534,,3326
535,,3401
536,,3478
537,,3356
538,,3386
539,,3339
540,,3285
541,,3212
542,,3378
543,,3225
544,,3236
545,,3313
546,,3295
547,,3321
548,,3191
549,,3056
550,,3131
551,,3120
552,,3085
553,,3024
554,,3036
555,,2979
556,,3009
557,,2967
558,,2932
559,,2863
560,,2918
561,,2795
562,,2802
563,,2678
564,,2764
565,,2772
566,,2729
567,,2674
568,,2622
569,,2616
570,,2424
571,,2456
572,,2475
573,,2456
574,,2396
575,,2359
576,,2251
577,,2300
578,,2156
579,,1973
580,,2183
581,,2146
582,,2041
583,,2027
584,,1953
585,,1932
586,,1819
587,,1895
588,,1863
589,,1799
590,,1771
591,,1746
592,,1692
593,,1729
594,,1630
595,,1584
596,,1571
597,,1531
598,,1530
599,,1499
600,,1401
601,,1358
602,,1380
603,,1269
604,,1263
605,,1265
606,,1325
607,,1268
608,,1208
609,,1170
610,,1127
611,,1172
612,,1152
613,,1108
614,,1100
615,,1099
616,,1098
617,,1094
618,,1027
619,,997
620,,968
621,,1035
622,,1005
623,,935
624,,898
625,,926
626,,949
627,,920
628,,898
629,,910
630,,905
631,,860
632,,878
633,,797
634,,787
635,,799
636,,792
637,,769
638,,770
639,,757
640,,801
641,,758
642,,714
643,,691
644,,714
645,,696
646,,641
647,,664
648,,743
649,,671
650,,669
651,,684
652,,664
653,,691
654,,614
655,,652
656,,642
657,,627
658,,626
659,,624
660,,646
661,,617
662,,613
663,,630
664,,616
665,,574
666,,586
667,,600
668,,594
669,,565
670,,602
671,,609
672,,612
673,,651
674,,638
675,,619
676,,605
677,,648
678,,587
679,,623
680,,612
681,,572
682,,613
683,,629
684,,624
685,,655
686,,654
687,,643
688,,667
689,,624
690,,670
691,,670
692,,706
693,,728
694,,692
695,,750
696,,718
697,,785
698,,815
699,,818
700,,797
701,,806
702,,899
703,,888
704,,870
705,,884
706,,915
707,,982
708,,1050
709,,1092
710,,1048
711,,1098
712,,1212
713,,1283
714,,1176
715,,1213
716,,1278
717,,1391
718,,1439
719,,1469
720,,1514
721,,1533
722,,1672
723,,1740
724,,1810
725,,1863
726,,1898
727,,1935
728,,2021
729,,2132
730,,2186
731,,2219
732,,2398
733,,2368
734,,2493
735,,2600
736,,2686
737,,2845
738,,2982
739,,2933
740,,3092
741,,3312
742,,3376
743,,3430
744,,3654
745,,3745
746,,3890
747,,4040
748,,4087
749,,4167
750,,4438
751,,4600
752,,4649
753,,4807
754,,5055
755,,5239
756,,5441
757,,5351
758,,5657
759,,5825
760,,5746
761,,6176
762,,6248
763,,6526
764,,6610
765,,6934
766,,7035
767,,7254
768,,7223
769,,7698
770,,7821
771,,7796
772,,7846
773,,8341
774,,8407
775,,8744
776,,8714
777,,8942
778,,9051
779,,9303
780,,9473
781,,9736
782,,9592
783,,10002
784,,10150
785,,10350
786,,10456
787,,10454
788,,10631
789,,10878
790,,10854
791,,11107
792,,11058
793,,11456
794,,11480
795,,11548
796,,11709
797,,11732
798,,11749
799,,11905
800,,12005
801,,12038
802,,11969
803,,11923
804,,12048
805,,12298
806,,12118
807,,12287
808,,12115
809,,12284
810,,12175
811,,12194
812,,12244
813,,12193
814,,12109
815,,12046
816,,12050
817,,11998
818,,11791
819,,11823
820,,11596
821,,11449
822,,11418
823,,11383
824,,11334
825,,11228
826,,11135
827,,10983
828,,10604
829,,10797
830,,10487
831,,10293
832,,10271
833,,10096
834,,9944
835,,9842
836,,9532
837,,9523
838,,9090
839,,8999
840,,8867
841,,8707
842,,8455
843,,8252
844,,8292
845,,7938
846,,7689
847,,7586
848,,7320
849,,7146
850,,6996
851,,6763
852,,6519
853,,6313
854,,6294
855,,6038
856,,5859
857,,5722
858,,5434
859,,5414
860,,5155
861,,4988
862,,4894
863,,4649
864,,4462
865,,4370
866,,4135
867,,4166
868,,3758
869,,3823
870,,3580
871,,3633
872,,3352
873,,3280
874,,3151
875,,2929
876,,2794
877,,2695
878,,2677
879,,2567
880,,2423
881,,2331
882,,2221
883,,2163
884,,2053
885,,1926
886,,1822
887,,1855
888,,1738
889,,1768
890,,1549
891,,1549
892,,1447
893,,1440
894,,1340
895,,1262
896,,1187
897,,1139
898,,1111
899,,1014
900,,977
901,,962
902,,955
903,,885
904,,860
905,,870
906,,792
907,,733
908,,684
909,,728
910,,643
911,,666
912,,638
913,,547
914,,559
915,,539
916,,488
917,,466
918,,502
919,,473
920,,445
921,,439
922,,462
923,,410
924,,397
925,,385
926,,394
927,,352
928,,356
929,,325
930,,330
931,,311
932,,301
933,,288
934,,320
935,,304
936,,277
937,,254
938,,259
939,,291
940,,246
941,,268
942,,268
943,,243
944,,244
945,,247
946,,236
947,,273
948,,219
949,,257
950,,216
951,,225
952,,201
953,,218
954,,220
955,,172
956,,227
957,,221
958,,209
959,,208
960,,222
961,,214
962,,200
963,,220
964,,183
965,,199
966,,183
967,,203
968,,194
969,,198
970,,160
971,,179
972,,180
973,,191
974,,173
975,,166
976,,158
977,,182
978,,176
979,,198
980,,186
981,,183
982,,177
983,,186
984,,205
985,,176
986,,187
987,,179
988,,168
989,,169
990,,169
991,,177
992,,166
993,,179
994,,160
995,,167
996,,173
997,,166
998,,182
999,,164
1000,,174
1001,,160
1002,,175
1003,,177
1004,,173
1005,,151
1006,,141
1007,,162
1008,,138
1009,,166
1010,,157
1011,,161
1012,,170
1013,,156
1014,,198
1015,,176
1016,,148
1017,,164
1018,,177
1019,,146
1020,,142
1021,,176
1022,,145
1023,,161
1024,,159
1025,,153
1026,,154
1027,,172
1028,,130
1029,,163
1030,,165
1031,,166
1032,,141
1033,,171
1034,,160
1035,,154
1036,,153
1037,,151
1038,,150
1039,,152
1040,,140
1041,,190
1042,,170
1043,,146
1044,,158
1045,,146
1046,,169
1047,,159
1048,,142
1049,,137
1050,,132
1051,,133
1052,,150
1053,,149
1054,,146
1055,,131
1056,,137
1057,,138
1058,,163
1059,,138
1060,,141
1061,,145
1062,,162
1063,,136
1064,,150
1065,,143
1066,,131
1067,,158
1068,,125
1069,,143
1070,,131
1071,,135
1072,,158
1073,,130
1074,,150
1075,,148
1076,,142
1077,,130
1078,,159
1079,,134
1080,,157
1081,,133
1082,,152
1083,,165
1084,,134
1085,,151
1086,,138
1087,,144
1088,,126
1089,,133
1090,,138
1091,,123
1092,,132
1093,,125
1094,,127
1095,,131
1096,,137
1097,,111
1098,,140
1099,,132
1100,,134
1101,,154
1102,,124
1103,,113
1104,,128
1105,,134
1106,,138
1107,,119
1108,,121
1109,,124
1110,,106
1111,,129
1112,,121
1113,,122
1114,,131
1115,,110
1116,,126
1117,,146
1118,,135
1119,,111
1120,,105
1121,,116
1122,,118
1123,,133
1124,,108
1125,,131
1126,,112
1127,,120
1128,,100
1129,,131
1130,,112
1131,,132
1132,,108
1133,,109
1134,,116
1135,,118
1136,,104
1137,,105
1138,,110
1139,,90
1140,,97
1141,,124
1142,,105
1143,,116
1144,,102
1145,,117
1146,,98
1147,,117
1148,,116
1149,,114
1150,,108
1151,,108
1152,,104
1153,,98
1154,,104
1155,,87
1156,,96
1157,,95
1158,,94
1159,,94
1160,,125
1161,,109
1162,,108
1163,,106
1164,,96
1165,,103
1166,,88
1167,,83
1168,,97
1169,,110
1170,,85
1171,,98
1172,,98
1173,,106
1174,,98
1175,,93
1176,,82
1177,,98
1178,,103
1179,,107
1180,,104
1181,,77
1182,,79
1183,,88
1184,,95
1185,,82
1186,,87
1187,,89
1188,,80
1189,,93
1190,,93
1191,,74
1192,,88
1193,,87
1194,,82
1195,,90
1196,,87
1197,,91
1198,,89
1199,,82
1200,,88
1201,,88
1202,,90
1203,,73
1204,,83
