Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Amp
High Voltage:,1300
Conversion Gain:,2048
Coarse Gain:,4
Fine Gain:,1.20
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,326.85
Elapsed Live Time:,301.4
Start Time:,January 14, 2020, 12:35:03
End Time:,January 14, 2020, 12:40:30
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,31
1,,5
2,,5
3,,6
4,,10
5,,1
6,,7
7,,7
8,,13
9,,9
10,,11
11,,18
12,,18
13,,18
14,,26
15,,26
16,,22
17,,29
18,,36
19,,39
20,,59
21,,260
22,,1485
23,,2699
24,,2716
25,,2709
26,,2681
27,,2611
28,,2540
29,,2530
30,,2342
31,,2344
32,,2248
33,,2262
34,,2249
35,,2245
36,,2142
37,,2217
38,,2113
39,,2105
40,,2097
41,,1988
42,,2086
43,,2045
44,,2062
45,,2039
46,,2058
47,,2123
48,,2001
49,,2144
50,,2054
51,,2093
52,,2117
53,,2067
54,,2150
55,,2152
56,,2168
57,,2266
58,,2193
59,,2275
60,,2232
61,,2336
62,,2242
63,,2283
64,,2338
65,,2286
66,,2408
67,,2393
68,,2378
69,,2323
70,,2382
71,,2361
72,,2475
73,,2346
74,,2544
75,,2478
76,,2570
77,,2528
78,,2578
79,,2688
80,,2626
81,,2745
82,,2815
83,,2814
84,,2833
85,,2875
86,,2750
87,,2845
88,,2847
89,,2965
90,,2961
91,,2955
92,,2987
93,,2963
94,,2990
95,,2901
96,,2980
97,,2836
98,,2910
99,,2819
100,,2756
101,,2803
102,,2706
103,,2711
104,,2651
105,,2584
106,,2638
107,,2461
108,,2539
109,,2494
110,,2329
111,,2366
112,,2269
113,,2326
114,,2296
115,,2226
116,,2231
117,,2193
118,,2156
119,,2107
120,,2204
121,,2168
122,,2226
123,,2170
124,,2120
125,,2082
126,,2105
127,,2129
128,,2223
129,,2122
130,,2000
131,,2068
132,,2067
133,,2077
134,,2076
135,,2027
136,,2032
137,,2076
138,,2047
139,,2083
140,,2025
141,,2132
142,,2070
143,,2158
144,,2132
145,,2132
146,,2083
147,,2081
148,,2040
149,,2071
150,,2113
151,,2100
152,,2075
153,,2125
154,,2077
155,,2066
156,,2157
157,,2100
158,,2171
159,,2150
160,,2068
161,,2153
162,,2117
163,,2125
164,,2065
165,,2212
166,,2102
167,,2156
168,,2068
169,,2140
170,,2210
171,,2129
172,,2106
173,,2166
174,,2121
175,,2075
176,,2206
177,,2219
178,,2167
179,,2160
180,,2165
181,,2238
182,,2167
183,,2172
184,,2267
185,,2294
186,,2306
187,,2280
188,,2253
189,,2285
190,,2294
191,,2317
192,,2349
193,,2459
194,,2353
195,,2380
196,,2449
197,,2497
198,,2465
199,,2563
200,,2512
201,,2456
202,,2537
203,,2586
204,,2604
205,,2563
206,,2713
207,,2704
208,,2623
209,,2723
210,,2715
211,,2836
212,,2916
213,,2932
214,,2918
215,,2848
216,,2901
217,,2905
218,,2882
219,,2868
220,,2884
221,,2886
222,,2960
223,,2994
224,,3029
225,,2919
226,,2926
227,,2952
228,,2919
229,,2977
230,,2983
231,,3008
232,,2926
233,,2915
234,,2992
235,,2943
236,,2867
237,,2972
238,,2885
239,,2963
240,,2915
241,,2831
242,,2910
243,,2815
244,,2922
245,,2864
246,,2831
247,,2859
248,,2734
249,,2834
250,,2815
251,,2768
252,,2706
253,,2730
254,,2761
