Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Amp
High Voltage:,1300
Conversion Gain:,2048
Coarse Gain:,4
Fine Gain:,1.30
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,323.94
Elapsed Live Time:,300.74
Start Time:,January 21, 2020, 12:53:13
End Time:,January 21, 2020, 12:58:37
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,1
5,,1
6,,5
7,,0
8,,2
9,,2
10,,3
11,,3
12,,6
13,,8
14,,7
15,,10
16,,10
17,,18
18,,20
19,,41
20,,116
21,,658
22,,5083
23,,10543
24,,14474
25,,18706
26,,23349
27,,28043
28,,32445
29,,36306
30,,38837
31,,41827
32,,43092
33,,44580
34,,45199
35,,43528
36,,42486
37,,40257
38,,37005
39,,33956
40,,30865
41,,27783
42,,25050
43,,21688
44,,19042
45,,16638
46,,14103
47,,12217
48,,10415
49,,8725
50,,7394
51,,6365
52,,5305
53,,4485
54,,4049
55,,3616
56,,3253
57,,2945
58,,2834
59,,2641
60,,2670
61,,2745
62,,2735
63,,2688
64,,2893
65,,2883
66,,2921
67,,3125
68,,3317
69,,3312
70,,3262
71,,3364
72,,3434
73,,3557
74,,3571
75,,3619
76,,3668
77,,3839
78,,3934
79,,3889
80,,4011
81,,4155
82,,4198
83,,4237
84,,4272
85,,4388
86,,4514
87,,4621
88,,4646
89,,4858
90,,5065
91,,5351
92,,5475
93,,5717
94,,6054
95,,6302
96,,6749
97,,7215
98,,7523
99,,8154
100,,8696
101,,9195
102,,9508
103,,10156
104,,10483
105,,11145
106,,11141
107,,11403
108,,11599
109,,11677
110,,11539
111,,11521
112,,11515
113,,11391
114,,10958
115,,10644
116,,10049
117,,9484
118,,9108
119,,8605
120,,7751
121,,7396
122,,6695
123,,6086
124,,5649
125,,5027
126,,4610
127,,4247
128,,3705
129,,3390
130,,3023
131,,2761
132,,2548
133,,2313
134,,2065
135,,1944
136,,1778
137,,1675
138,,1663
139,,1574
140,,1581
141,,1566
142,,1409
143,,1496
144,,1616
145,,1552
146,,1533
147,,1581
148,,1607
149,,1669
150,,1689
151,,1704
152,,1699
153,,1807
154,,1811
155,,1805
156,,1789
157,,1764
158,,1772
159,,1765
160,,1789
161,,1754
162,,1723
163,,1726
164,,1708
165,,1661
166,,1605
167,,1685
168,,1492
169,,1446
170,,1536
171,,1416
172,,1303
173,,1367
174,,1303
175,,1330
176,,1235
177,,1205
178,,1209
179,,1085
180,,1087
181,,1110
182,,1080
183,,1093
184,,1066
185,,1088
186,,1020
187,,1066
188,,1050
189,,1005
190,,1090
191,,1067
192,,1092
193,,1067
194,,1028
195,,1099
196,,1128
197,,1135
198,,1119
199,,1177
200,,1138
201,,1120
202,,1193
203,,1211
204,,1199
205,,1238
206,,1196
207,,1248
208,,1244
209,,1274
210,,1254
211,,1247
212,,1266
213,,1207
214,,1272
215,,1339
216,,1274
217,,1179
218,,1202
219,,1231
220,,1261
221,,1222
222,,1206
223,,1190
224,,1206
225,,1210
226,,1205
227,,1175
228,,1199
229,,1130
230,,1151
231,,1106
232,,1143
233,,1210
234,,1119
235,,1116
236,,1125
237,,1098
238,,1091
239,,1052
240,,1004
241,,1018
242,,1020
243,,935
244,,1047
245,,1020
246,,963
247,,993
248,,1007
249,,988
250,,975
251,,894
252,,973
253,,961
254,,954
255,,949
256,,918
257,,889
258,,853
259,,886
260,,907
261,,863
262,,817
263,,885
264,,757
265,,792
266,,845
267,,829
268,,845
269,,791
270,,780
271,,807
272,,759
273,,752
274,,750
275,,704
276,,724
277,,733
278,,691
279,,661
280,,675
281,,705
282,,672
283,,663
284,,661
285,,635
286,,635
287,,637
288,,638
289,,594
290,,609
291,,583
292,,610
293,,569
294,,584
295,,604
296,,547
297,,573
298,,545
299,,569
300,,552
301,,607
302,,516
303,,529
304,,533
305,,510
306,,503
307,,464
308,,519
309,,495
310,,445
311,,496
312,,488
313,,479
314,,483
315,,465
316,,463
317,,488
318,,493
319,,478
320,,471
321,,483
322,,433
323,,479
324,,464
325,,444
326,,462
327,,473
328,,457
329,,487
330,,471
331,,510
