Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1300
Conversion Gain:,2048
Coarse Gain:,4
Fine Gain:,1.30
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,1514.7
Elapsed Live Time:,1513.43
Start Time:,January 21, 2020, 11:47:40
End Time:,January 21, 2020, 12:12:54
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,1
15,,0
16,,0
17,,1
18,,0
19,,1
20,,2
21,,5
22,,38
23,,85
24,,71
25,,63
26,,70
27,,73
28,,87
29,,74
30,,57
31,,53
32,,63
33,,59
34,,57
35,,52
36,,62
37,,59
38,,54
39,,50
40,,48
41,,47
42,,58
43,,48
44,,44
45,,51
46,,54
47,,54
48,,49
49,,45
50,,66
51,,60
52,,55
53,,61
54,,80
55,,65
56,,64
57,,50
58,,79
59,,79
60,,76
61,,74
62,,79
63,,81
64,,79
65,,90
66,,71
67,,81
68,,96
69,,100
70,,87
71,,93
72,,102
73,,114
74,,98
75,,124
76,,121
77,,113
78,,118
79,,120
80,,170
81,,148
82,,143
83,,142
84,,131
85,,130
86,,167
87,,174
88,,185
89,,182
90,,181
91,,192
92,,210
93,,170
94,,204
95,,182
96,,191
97,,206
98,,202
99,,199
100,,187
101,,188
102,,199
103,,183
104,,175
105,,180
106,,197
107,,184
108,,167
109,,159
110,,182
111,,161
112,,160
113,,165
114,,167
115,,155
116,,161
117,,169
118,,137
119,,176
120,,137
121,,146
122,,140
123,,141
124,,148
125,,143
126,,147
127,,128
128,,151
129,,135
130,,104
131,,131
132,,130
133,,129
134,,145
135,,134
136,,129
137,,127
138,,98
139,,140
140,,113
141,,122
142,,105
143,,130
144,,137
145,,130
146,,128
147,,128
148,,107
149,,121
150,,127
151,,137
152,,124
153,,118
154,,127
155,,133
156,,142
157,,98
158,,94
159,,129
160,,119
161,,126
162,,119
163,,119
164,,123
165,,124
166,,117
167,,137
168,,126
169,,115
170,,141
171,,124
172,,124
173,,109
174,,117
175,,95
176,,129
177,,118
178,,104
179,,106
180,,126
181,,121
182,,127
183,,116
184,,124
185,,110
186,,109
187,,119
188,,116
189,,95
190,,119
191,,117
192,,109
193,,120
194,,108
195,,111
196,,121
197,,113
198,,120
199,,105
200,,97
201,,89
202,,117
203,,96
204,,132
205,,102
206,,99
207,,100
208,,99
209,,119
210,,115
211,,109
212,,102
213,,113
214,,83
215,,93
216,,116
217,,106
218,,101
219,,97
220,,94
221,,106
222,,107
223,,105
224,,92
225,,115
226,,99
227,,90
228,,109
229,,101
230,,91
231,,96
232,,107
233,,102
234,,80
235,,75
236,,84
237,,94
238,,83
239,,81
240,,92
241,,103
242,,75
243,,94
244,,95
245,,98
246,,92
247,,83
248,,108
249,,75
250,,91
251,,96
252,,76
253,,76
254,,87
255,,75
256,,87
257,,80
258,,82
259,,74
260,,77
261,,67
262,,73
263,,77
264,,81
265,,86
266,,74
267,,87
268,,81
269,,77
270,,76
271,,66
272,,79
273,,68
274,,66
275,,75
276,,72
277,,59
278,,74
279,,62
280,,66
281,,85
282,,63
283,,90
284,,66
285,,58
286,,72
287,,58
288,,52
289,,64
290,,54
291,,63
292,,57
293,,54
294,,47
295,,51
296,,61
297,,66
298,,58
299,,60
300,,55
301,,57
302,,61
303,,67
304,,75
305,,65
306,,57
307,,60
308,,62
309,,62
310,,54
311,,55
312,,47
313,,49
314,,62
315,,51
316,,48
317,,50
318,,46
319,,56
320,,55
321,,55
322,,60
323,,55
324,,54
325,,38
326,,43
327,,43
328,,50
329,,73
330,,51
331,,48
332,,49
333,,55
334,,38
335,,36
336,,45
337,,44
338,,37
339,,31
340,,39
341,,41
342,,40
343,,35
344,,35
345,,23
346,,31
347,,37
348,,47
349,,40
350,,36
351,,38
352,,32
353,,41
354,,45
355,,40
356,,30
357,,28
358,,20
359,,45
360,,36
361,,36
362,,44
363,,41
364,,46
365,,31
366,,30
367,,34
368,,31
369,,34
370,,42
371,,28
372,,41
373,,33
374,,27
375,,32
