Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Amp
High Voltage:,1300
Conversion Gain:,2048
Coarse Gain:,4
Fine Gain:,1.30
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,1521.61
Elapsed Live Time:,1500.75
Start Time:,January 21, 2020, 11:19:19
End Time:,January 21, 2020, 11:44:41
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,13
1,,0
2,,0
3,,1
4,,1
5,,2
6,,3
7,,0
8,,2
9,,3
10,,1
11,,1
12,,2
13,,3
14,,0
15,,3
16,,4
17,,5
18,,3
19,,4
20,,26
21,,123
22,,917
23,,1119
24,,1134
25,,1162
26,,1009
27,,1113
28,,1078
29,,1055
30,,1110
31,,969
32,,982
33,,921
34,,974
35,,976
36,,955
37,,927
38,,935
39,,887
40,,864
41,,867
42,,827
43,,909
44,,894
45,,846
46,,873
47,,885
48,,870
49,,870
50,,876
51,,921
52,,851
53,,930
54,,935
55,,938
56,,900
57,,922
58,,966
59,,985
60,,1009
61,,989
62,,968
63,,1042
64,,1052
65,,1090
66,,1045
67,,1043
68,,1050
69,,1052
70,,1046
71,,1028
72,,988
73,,1058
74,,1104
75,,1101
76,,1096
77,,1081
78,,1067
79,,1117
80,,1106
81,,1165
82,,1151
83,,1105
84,,1216
85,,1245
86,,1240
87,,1283
88,,1306
89,,1354
90,,1362
91,,1419
92,,1386
93,,1466
94,,1400
95,,1513
96,,1411
97,,1522
98,,1454
99,,1464
100,,1559
101,,1466
102,,1521
103,,1461
104,,1481
105,,1362
106,,1263
107,,1355
108,,1381
109,,1344
110,,1321
111,,1339
112,,1293
113,,1269
114,,1248
115,,1136
116,,1193
117,,1196
118,,1173
119,,1193
120,,1138
121,,1118
122,,1072
123,,1067
124,,1096
125,,1100
126,,1036
127,,1044
128,,1069
129,,1038
130,,1012
131,,972
132,,988
133,,1016
134,,996
135,,1032
136,,968
137,,1009
138,,995
139,,983
140,,1011
141,,965
142,,999
143,,960
144,,1010
145,,957
146,,968
147,,973
148,,1024
149,,1007
150,,983
151,,980
152,,1010
153,,988
154,,949
155,,988
156,,1000
157,,1049
158,,955
159,,978
160,,1002
161,,1007
162,,959
163,,977
164,,1040
165,,989
166,,970
167,,960
168,,980
169,,1012
170,,1023
171,,1023
172,,977
173,,1029
174,,966
175,,986
176,,1019
177,,1056
178,,1016
