Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Amp
High Voltage:,1300
Conversion Gain:,2048
Coarse Gain:,4
Fine Gain:,1.30
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,1504.86
Elapsed Live Time:,1500.68
Start Time:,January 21, 2020, 12:16:19
End Time:,January 21, 2020, 12:41:24
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,1
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,2
14,,0
15,,1
16,,1
17,,0
18,,0
19,,1
20,,3
21,,17
22,,224
23,,358
24,,356
25,,394
26,,347
27,,314
28,,313
29,,323
30,,320
31,,301
32,,307
33,,303
34,,298
35,,273
36,,288
37,,231
38,,268
39,,291
40,,272
41,,283
42,,267
43,,267
44,,252
45,,305
46,,293
47,,295
48,,294
49,,281
50,,270
51,,269
52,,271
53,,282
54,,294
55,,306
56,,292
57,,310
58,,296
59,,306
60,,309
61,,299
62,,327
63,,322
64,,346
65,,304
66,,319
67,,340
68,,365
69,,361
70,,331
71,,332
72,,393
73,,341
74,,373
75,,362
76,,364
77,,384
78,,390
79,,385
80,,424
81,,410
82,,385
83,,414
84,,422
85,,444
86,,445
87,,469
88,,473
89,,467
90,,498
91,,496
92,,509
93,,518
94,,504
95,,509
96,,513
97,,495
98,,484
99,,527
100,,493
101,,500
102,,523
103,,507
104,,513
105,,484
106,,521
107,,466
108,,452
109,,500
110,,470
111,,469
112,,413
113,,414
114,,397
115,,444
116,,440
117,,407
118,,410
119,,414
120,,387
121,,433
122,,415
123,,387
124,,379
125,,419
126,,403
127,,368
128,,386
129,,386
130,,365
131,,353
132,,393
133,,369
134,,348
135,,384
136,,392
137,,357
138,,326
139,,341
140,,396
141,,358
142,,378
143,,348
144,,372
145,,382
146,,351
147,,348
148,,382
149,,380
150,,322
151,,362
152,,373
153,,380
154,,387
155,,381
156,,362
157,,345
158,,360
159,,341
160,,355
161,,395
162,,323
163,,388
164,,340
165,,371
166,,364
167,,379
168,,359
169,,350
170,,370
171,,348
172,,361
173,,332
174,,349
175,,373
176,,381
177,,358
178,,347
179,,377
180,,364
181,,366
182,,366
183,,390
184,,398
185,,356
186,,355
187,,367
188,,325
189,,346
190,,344
191,,329
192,,348
193,,363
194,,363
195,,363
196,,376
197,,360
198,,364
199,,357
200,,364
201,,375
202,,373
203,,364
204,,359
205,,378
206,,387
207,,335
208,,386
209,,371
210,,344
211,,366
212,,362
213,,338
214,,362
215,,388
216,,363
217,,388
218,,384
219,,365
220,,354
221,,357
222,,355
223,,349
224,,331
225,,352
226,,392
227,,363
228,,376
229,,393
230,,401
231,,378
232,,369
233,,403
234,,373
235,,359
236,,365
237,,399
238,,394
239,,412
240,,388
241,,396
242,,430
243,,474
244,,404
245,,445
246,,401
247,,386
248,,444
249,,413
250,,474
251,,444
252,,449
253,,442
254,,458
255,,475
256,,419
257,,459
258,,446
259,,462
260,,473
261,,448
262,,490
263,,488
264,,496
265,,492
266,,501
267,,516
268,,479
269,,489
270,,483
271,,460
272,,456
273,,457
274,,447
275,,504
276,,488
277,,485
278,,492
279,,480
280,,492
281,,557
282,,496
283,,455
284,,435
285,,452
286,,471
287,,483
288,,407
289,,459
290,,454
291,,456
292,,468
293,,409
294,,480
295,,429
296,,425
297,,453
298,,432
299,,427
300,,443
301,,408
302,,412
303,,415
304,,424
305,,362
306,,406
307,,395
308,,404
309,,407
310,,375
311,,390
312,,360
313,,411
314,,390
315,,391
316,,391
317,,396
318,,397
319,,351
320,,370
321,,378
322,,379
323,,351
324,,347
325,,371
326,,325
327,,332
328,,334
329,,353
330,,350
331,,373
332,,350
333,,349
334,,362
335,,341
336,,317
337,,295
338,,311
339,,347
340,,324
341,,334
342,,315
343,,324
344,,307
345,,332
346,,302
347,,330
348,,311
349,,313
350,,331
351,,328
352,,316
353,,305
354,,292
355,,312
356,,345
357,,294
358,,304
359,,299
360,,305
361,,275
362,,322
363,,282
364,,305
365,,258
366,,298
367,,301
368,,317
369,,280
370,,274
371,,302
372,,307
373,,278
374,,281
375,,299
