Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Amp
High Voltage:,1300
Conversion Gain:,2048
Coarse Gain:,64
Fine Gain:,2.49
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,248.96
Elapsed Live Time:,75.42
Start Time:,January 28, 2020, 12:05:30
End Time:,January 28, 2020, 12:09:39
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,104
1,,238
2,,317
3,,394
4,,563
5,,797
6,,1493
7,,2548
8,,4303
9,,5869
10,,6223
11,,4450
12,,3110
13,,3504
14,,4150
15,,5000
16,,5971
17,,7131
18,,8654
19,,10675
20,,14198
21,,19367
22,,25234
23,,32513
24,,37126
25,,39596
26,,41641
27,,43775
28,,45348
29,,47557
30,,48985
31,,51002
32,,53804
33,,56393
34,,58758
35,,62502
36,,66116
37,,69019
38,,72038
39,,76136
40,,79368
41,,83748
42,,88186
43,,92357
44,,97191
45,,102426
46,,105815
47,,110247
48,,114585
49,,118420
50,,122070
51,,126535
52,,129468
53,,133735
54,,135916
55,,139867
56,,141680
57,,144708
58,,145873
59,,147801
60,,147944
61,,148643
62,,146954
63,,145840
64,,143517
65,,142702
66,,137940
67,,135749
68,,131033
69,,127955
70,,123048
71,,118607
72,,113258
73,,108967
74,,103484
75,,99220
76,,93422
77,,89148
78,,82722
79,,78829
80,,73064
81,,68544
82,,64300
83,,60004
84,,55298
85,,51583
86,,47578
87,,43902
88,,40221
89,,37534
90,,34330
91,,31774
92,,29544
93,,27162
94,,25153
95,,23037
96,,21370
97,,20104
98,,18758
99,,17520
100,,16302
101,,15552
102,,14927
103,,14363
104,,13660
105,,13416
106,,13048
107,,12843
108,,12848
109,,13045
110,,12769
111,,12896
112,,13173
113,,13352
114,,13778
115,,14256
116,,14384
117,,14855
118,,15285
119,,15923
120,,16281
121,,16928
122,,17324
123,,18262
124,,18791
125,,19225
126,,19711
127,,20662
128,,21207
129,,21907
130,,22250
131,,23051
132,,23400
133,,24061
134,,24778
135,,25495
136,,25621
137,,26500
138,,26437
139,,27002
140,,27570
141,,27952
142,,27854
143,,28237
144,,28564
145,,28748
146,,28550
147,,28822
148,,28428
149,,28852
150,,28407
151,,28643
152,,28259
153,,28169
154,,27861
155,,27665
156,,27495
157,,27131
158,,26781
159,,26436
160,,25905
161,,25448
162,,25553
163,,25391
164,,24672
165,,24509
166,,23695
167,,23800
168,,23024
169,,23161
170,,22383
171,,21910
172,,21829
173,,21607
174,,21420
175,,20744
176,,20484
177,,20333
178,,20041
179,,19819
180,,19595
181,,19334
182,,18770
183,,19056
184,,18767
185,,18622
186,,18210
187,,18570
188,,18040
189,,17931
190,,17933
191,,17841
192,,17549
193,,17925
194,,17582
195,,17819
196,,17645
197,,17616
198,,17484
199,,17528
200,,17867
201,,17699
202,,17849
203,,17905
204,,18172
205,,18086
206,,18080
207,,18167
208,,18369
209,,18708
210,,18545
211,,19084
212,,18965
213,,19411
214,,19562
215,,19737
216,,20278
217,,20210
218,,20621
219,,20892
220,,21276
221,,21760
222,,21673
223,,22252
224,,22697
225,,22979
226,,23605
227,,23909
228,,24326
229,,25008
230,,25109
231,,25986
232,,26109
233,,26851
234,,27087
235,,27552
236,,28155
237,,28914
238,,28844
239,,29590
240,,29921
241,,30821
242,,31183
243,,31451
244,,32265
245,,32629
246,,32923
247,,33411
248,,33497
249,,34143
250,,34701
251,,34744
252,,35425
253,,35589
254,,36009
255,,35569
256,,36006
257,,36393
258,,35826
259,,36371
260,,36107
261,,35939
