Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1300
Conversion Gain:,2048
Coarse Gain:,64
Fine Gain:,2.49
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,248.96
Elapsed Live Time:,75.42
Start Time:,January 28, 2020, 12:05:30
End Time:,January 28, 2020, 12:09:39
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,5
7,,25
8,,468
9,,1386
10,,2513
11,,1818
12,,348
13,,326
14,,386
15,,612
16,,569
17,,755
18,,1031
19,,1363
20,,1257
21,,1087
22,,1726
23,,3349
24,,4778
25,,5726
26,,6924
27,,7526
28,,7954
29,,8488
30,,8754
31,,9036
32,,9276
33,,8988
34,,8744
35,,9382
36,,10658
37,,9887
38,,10804
39,,11816
40,,12217
41,,11841
42,,13805
43,,13426
44,,14522
45,,15385
46,,14835
47,,14462
48,,16089
49,,14546
50,,15144
51,,15042
52,,14419
53,,13870
54,,12312
55,,12104
56,,10189
57,,9198
58,,7759
59,,5384
60,,4139
61,,1469
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
71,,0
72,,0
73,,0
74,,0
75,,0
76,,0
77,,0
78,,0
79,,0
80,,0
81,,0
82,,0
83,,0
84,,0
85,,0
86,,0
87,,0
88,,0
89,,0
90,,0
91,,0
92,,0
93,,0
94,,0
95,,0
96,,0
97,,0
98,,0
99,,0
100,,0
101,,0
102,,0
103,,493
104,,898
105,,1680
106,,2314
107,,2792
108,,3446
109,,4260
110,,4391
111,,4905
112,,5475
113,,5932
114,,6728
115,,7065
116,,7333
117,,7732
118,,7997
119,,8665
120,,8875
121,,9075
122,,9438
123,,9903
124,,10155
125,,9874
126,,9838
127,,10591
128,,10392
129,,10413
130,,10345
131,,10234
132,,9862
133,,9659
134,,9739
135,,9589
136,,9148
137,,8900
138,,7894
139,,7654
140,,7394
141,,6846
142,,5850
143,,5205
144,,4621
145,,3871
146,,3100
147,,2648
148,,1437
149,,1280
150,,0
151,,0
152,,0
153,,0
154,,0
155,,0
156,,0
157,,0
158,,0
159,,0
160,,0
161,,0
162,,0
163,,0
164,,0
165,,0
166,,0
167,,0
168,,0
169,,0
170,,0
171,,0
172,,0
173,,0
174,,0
175,,0
176,,0
177,,0
178,,0
179,,0
180,,0
181,,0
182,,0
183,,0
184,,0
185,,0
186,,0
187,,0
188,,0
189,,0
190,,0
191,,0
192,,0
193,,0
194,,0
195,,0
196,,0
197,,0
198,,0
199,,0
200,,0
201,,0
202,,0
203,,0
204,,0
205,,0
206,,0
207,,0
208,,0
209,,0
210,,0
211,,0
212,,0
213,,0
214,,0
215,,0
216,,0
217,,0
218,,0
219,,0
220,,0
221,,0
222,,0
223,,0
224,,0
225,,0
226,,0
227,,0
228,,0
229,,0
230,,0
231,,638
232,,502
233,,1325
234,,1633
235,,1594
236,,2192
237,,2654
238,,2563
239,,3279
240,,3680
241,,3986
242,,4550
243,,4262
244,,5252
245,,5331
246,,5285
247,,5336
248,,5208
249,,5962
250,,6432
251,,6178
252,,6711
253,,6608
254,,6876
255,,6054
256,,6381
257,,6582
258,,5821
259,,6530
260,,5997
261,,5622
262,,5311
263,,5088
264,,4960
265,,4548
266,,3957
267,,3555
268,,3276
269,,2960
270,,2408
271,,1559
272,,1320
273,,857
274,,125
275,,0
276,,0
277,,0
278,,0
279,,0
280,,0
281,,0
282,,0
283,,0
284,,0
285,,0
286,,0
287,,0
288,,0
289,,0
290,,0
291,,0
292,,0
293,,0
294,,0
295,,0
296,,0
297,,0
298,,0
299,,0
300,,0
301,,0
302,,0
303,,0
304,,0
305,,0
306,,0
307,,0
308,,0
309,,0
310,,0
311,,0
312,,0
313,,0
314,,0
315,,0
316,,0
317,,0
318,,0
319,,0
320,,0
321,,0
322,,0
323,,0
324,,0
325,,0
326,,0
327,,0
328,,0
329,,0
330,,0
331,,0
332,,0
333,,0
334,,0
335,,0
336,,0
337,,0
338,,0
339,,0
340,,0
341,,0
342,,0
343,,0
344,,0
345,,0
346,,0
347,,0
348,,0
349,,0
