Time(Min)	T(K)	(0 Deg.)M.S.(uV)	(0 Deg.)STD(uV)	(90 Deg.)M.S.(uV)	(90 Deg.)STD(uV)
0.0	89.1	-63.78	0.00	28.08	0.04
0.4	89.2	-63.78	0.00	28.12	0.04
0.8	89.4	-63.78	0.00	28.11	0.03
1.5	89.5	-63.78	0.00	28.14	0.02
2.1	89.6	-63.78	0.00	28.14	0.03
3.1	89.7	-63.78	0.00	28.28	0.03
3.7	90.0	-63.64	0.30	28.00	0.08
4.2	89.8	-63.78	0.00	28.09	0.05
5.6	89.9	-63.78	0.00	28.09	0.11
6.5	90.1	-63.78	0.00	27.98	0.06
6.9	90.0	-63.78	0.00	28.04	0.03
7.6	90.2	-63.78	0.00	28.05	0.08
9.9	90.3	-63.78	0.00	28.25	0.05
10.3	90.2	-63.78	0.00	28.32	0.04
12.2	90.3	-63.78	0.00	28.26	0.06
13.6	90.4	-63.78	0.00	28.26	0.09
14.8	90.5	-63.78	0.00	28.29	0.07
15.2	90.6	-63.78	0.00	28.32	0.07
17.3	90.7	-63.78	0.00	27.07	0.07
18.0	90.8	-63.78	0.00	27.00	0.03
18.5	91.0	-63.78	0.00	26.80	0.15
18.8	91.4	-63.78	0.00	26.80	0.03
20.6	91.5	-63.78	0.00	26.58	0.03
21.0	91.6	-63.78	0.00	26.51	0.03
21.3	91.7	-63.78	0.00	26.28	0.24
21.7	91.9	-63.78	0.00	26.39	0.04
22.1	92.0	-63.78	0.00	26.32	0.14
22.5	92.3	-63.78	0.00	26.41	0.02
22.8	92.4	-63.78	0.00	26.39	0.01
23.8	92.5	-63.78	0.00	26.30	0.03
24.2	92.7	-63.78	0.00	26.32	0.04
24.5	92.8	-63.78	0.00	26.32	0.04
25.2	92.9	-63.78	0.00	26.22	0.02
25.7	93.0	-63.78	0.00	26.24	0.04
26.0	93.1	-63.78	0.00	26.24	0.04
26.6	93.2	-63.78	0.00	26.24	0.02
27.0	93.4	-63.78	0.00	26.30	0.04
27.3	93.6	-63.78	0.00	26.42	0.06
27.7	93.7	-63.78	0.00	26.66	0.06
28.1	93.8	-63.75	0.04	27.46	0.03
28.6	93.9	-59.24	0.49	26.81	0.16
29.0	94.1	-53.13	0.18	25.85	0.02
29.3	94.2	-50.32	0.14	25.75	0.05
29.7	94.3	-48.18	0.15	25.67	0.03
30.1	94.5	-45.38	0.14	25.62	0.04
30.8	94.6	-37.31	0.28	24.66	0.03
31.2	94.7	-34.61	0.05	24.24	0.04
31.6	94.8	-34.42	0.01	24.22	0.03
32.1	94.9	-34.38	0.03	24.24	0.04
32.9	95.1	-33.81	0.08	23.73	0.08
33.3	95.4	-34.26	0.08	24.28	0.04
33.7	96.1	-33.97	0.06	24.45	0.03
34.0	97.5	-33.87	0.03	24.53	0.02
34.3	97.8	-33.88	0.03	24.48	0.04
34.7	98.0	-33.91	0.02	24.56	0.04
35.3	98.1	-33.79	0.04	24.58	0.02
35.7	98.5	-33.68	0.02	24.62	0.03
36.0	98.8	-33.60	0.03	24.67	0.04
36.3	99.1	-33.60	0.02	24.72	0.03
36.7	99.3	-33.58	0.04	24.68	0.05
37.0	99.4	-33.50	0.02	24.71	0.05
37.3	99.5	-33.56	0.04	24.75	0.04
37.7	99.8	-33.48	0.07	24.84	0.06
38.0	100.1	-33.43	0.05	24.85	0.06
38.3	100.3	-33.42	0.04	24.87	0.01
38.7	100.5	-33.38	0.06	24.88	0.04
39.0	100.6	-33.28	0.11	24.89	0.03
39.3	100.7	-33.27	0.07	24.93	0.05
39.7	101.2	-33.21	0.02	24.99	0.03
40.0	101.6	-33.11	0.04	24.96	0.03
40.3	101.8	-33.14	0.06	25.05	0.06
40.7	102.0	-33.05	0.04	25.04	0.03
41.0	102.1	-33.04	0.02	25.10	0.03
41.3	102.5	-32.90	0.03	25.11	0.04
41.7	102.9	-32.89	0.05	25.14	0.03
42.0	103.1	-32.82	0.02	25.17	0.04
42.3	103.3	-32.78	0.02	25.17	0.02
42.7	103.5	-32.70	0.06	25.38	0.00
43.0	103.9	-32.60	0.02	25.39	0.02
43.3	104.3	-32.24	0.04	25.43	0.01
43.7	104.5	-31.90	0.81	25.45	0.01
44.0	104.6	-32.27	0.01	25.49	0.02
44.3	104.8	-32.22	0.03	25.45	0.01
44.7	104.9	-32.20	0.04	25.49	0.02
45.1	105.0	-32.13	0.03	25.55	0.02
45.5	105.7	-32.06	0.03	25.61	0.00
