Time(Min)	T(K)	(0 Deg.)M.S.(uV)	(0 Deg.)STD(uV)	(90 Deg.)M.S.(uV)	(90 Deg.)STD(uV)
17.3	90.7	-63.78	0	27.07	0.07
18	90.8	-63.78	0	27	0.03
18.5	91	-63.78	0	26.8	0.15
18.8	91.4	-63.78	0	26.8	0.03
20.6	91.5	-63.78	0	26.58	0.03
21	91.6	-63.78	0	26.51	0.03
21.7	91.9	-63.78	0	26.39	0.04
22.5	92.3	-63.78	0	26.41	0.02
22.8	92.4	-63.78	0	26.39	0.01
23.8	92.5	-63.78	0	26.3	0.03
24.2	92.7	-63.78	0	26.32	0.04
24.5	92.8	-63.78	0	26.32	0.04
25.2	92.9	-63.78	0	26.22	0.02
25.7	93	-63.78	0	26.24	0.04
26	93.1	-63.78	0	26.24	0.04
26.6	93.2	-63.78	0	26.24	0.02
27	93.4	-63.78	0	26.3	0.04
28.6	93.9	-59.24	0.49	26.81	0.16
29	94.1	-53.13	0.18	25.85	0.02
29.3	94.2	-50.32	0.14	25.75	0.05
29.7	94.3	-48.18	0.15	25.67	0.03
30.1	94.5	-45.38	0.14	25.62	0.04
30.8	94.6	-37.31	0.28	24.66	0.03
31.2	94.7	-34.61	0.05	24.24	0.04
31.6	94.8	-34.42	0.01	24.22	0.03
32.1	94.9	-34.38	0.03	24.24	0.04
33.3	95.4	-34.26	0.08	24.28	0.04
33.7	96.1	-33.97	0.06	24.45	0.03
34	97.5	-33.87	0.03	24.53	0.02
34.3	97.8	-33.88	0.03	24.48	0.04
34.7	98	-33.91	0.02	24.56	0.04
35.3	98.1	-33.79	0.04	24.58	0.02
35.7	98.5	-33.68	0.02	24.62	0.03
36	98.8	-33.6	0.03	24.67	0.04
36.3	99.1	-33.6	0.02	24.72	0.03
36.7	99.3	-33.58	0.04	24.68	0.05
37	99.4	-33.5	0.02	24.71	0.05
37.3	99.5	-33.56	0.04	24.75	0.04
37.7	99.8	-33.48	0.07	24.84	0.06
38	100.1	-33.43	0.05	24.85	0.06
38.3	100.3	-33.42	0.04	24.87	0.01
38.7	100.5	-33.38	0.06	24.88	0.04
39	100.6	-33.28	0.11	24.89	0.03
39.3	100.7	-33.27	0.07	24.93	0.05
39.7	101.2	-33.21	0.02	24.99	0.03
40	101.6	-33.11	0.04	24.96	0.03
40.3	101.8	-33.14	0.06	25.05	0.06
40.7	102	-33.05	0.04	25.04	0.03
41	102.1	-33.04	0.02	25.1	0.03
41.3	102.5	-32.9	0.03	25.11	0.04
41.7	102.9	-32.89	0.05	25.14	0.03
42	103.1	-32.82	0.02	25.17	0.04
42.3	103.3	-32.78	0.02	25.17	0.02
42.7	103.5	-32.7	0.06	25.38	0
43	103.9	-32.6	0.02	25.39	0.02
